id,citation,State
id, citation,State
Title 0 Article 0 Citation 0,a person is guilty of criminal solicitation in the fifth degree when with intent that another person engage in conduct constituting a crime he solicits requests commands importunes or otherwise attempts to cause such other person to engage in such conduct. criminal solicitation in the fifth degree is a violation.,California
Title 0 Article 0 Citation 1,a person is guilty of criminal solicitation in the fourth degree when: 1. with intent that another person engage in conduct constituting a felony he solicits requests commands importunes or  otherwise attempts to cause such other person to engage in such conduct; or 2. being over eighteen years of age with intent that another person under sixteen years of age engage in conduct that would constitute a crime he solicits requests commands importunes or otherwise attempts to cause such other person to engage in such conduct. criminal solicitation in the fourth degree is a class a misdemeanor.,California
Title 0 Article 0 Citation 2,a person is guilty of criminal solicitation in the third degree when being over eighteen years of age with intent that another person under sixteen years of age engage in conduct that would constitute a felony he solicits requests commands importunes or otherwise attempts to cause such other person to engage in such conduct. criminal solicitation in the third degree is a class e felony.,California
Title 0 Article 0 Citation 3,a person is guilty of criminal solicitation in the second degree when with intent that another person engage in conduct constituting a class a felony  he solicits requests commands importunes or otherwise attempts to cause such other person to engage in such conduct. criminal solicitation in the second degree is a class d felony.,California
Title 0 Article 0 Citation 4,a person is guilty of criminal solicitation in the first degree when being over eighteen years of age with intent that another person under sixteen years of age engage in conduct that would constitute a class a felony he solicits requests commands importunes or  otherwise attempts to cause such other person to engage in such conduct. criminal solicitation in the first degree is a class c felony.,California
Title 0 Article 0 Citation 5,it is no defense to a prosecution for criminal solicitation that the person solicited could not be guilty of the crime solicited owing to criminal irresponsibility or other legal incapacity or exemption or to unawareness of the criminal nature of the conduct solicited or of the defendant's criminal purpose or to other factors precluding the mental state required for the commission of the crime in question.,California
Title 0 Article 0 Citation 6,a person is not guilty of criminal solicitation when his solicitation constitutes conduct of a kind that is necessarily incidental to the commission of the crime solicited. when under such circumstances the solicitation constitutes an offense other than criminal solicitation which is related to but separate from the crime solicited the actor is guilty of such related and separate offense only and not of criminal solicitation.,California
Title 0 Article 1 Citation 0,a person is guilty of conspiracy in the sixth degree when with intent that conduct constituting a crime be performed he agrees with one or more persons to engage in or cause the performance of such conduct. conspiracy in the sixth degree is a class b misdemeanor.,California
Title 0 Article 1 Citation 1,a person is guilty of conspiracy in the fifth degree when with intent that conduct constituting: 1. a felony be performed he agrees with one or more persons to engage in or cause the performance of such conduct; or 2. a crime be performed he being over eighteen years of age agrees with one or more persons under sixteen years of age to engage in or cause the performance of such conduct. conspiracy in the fifth degree is a class a misdemeanor.,California
Title 0 Article 1 Citation 2,a person is guilty of conspiracy in the fourth degree when with intent that conduct constituting: 1. a class b or class c felony be performed he or she agrees with one or more persons to engage in or cause the performance of such conduct; or 2. a felony be performed he or she being over eighteen years of age agrees with one or more persons under sixteen years of age to engage in or cause the performance of such conduct; or 3. the felony of money laundering in the third degree as defined in section 470.10 of this chapter be performed he or she agrees with one or more persons to engage in or cause the performance of such conduct. conspiracy in the fourth degree is a class e felony.,California
Title 0 Article 1 Citation 3,a person is guilty of conspiracy in the third degree when with intent that conduct constituting a class b or a class c felony be performed he being over eighteen years of age agrees with one or more persons under sixteen years of age to engage in or cause the performance of such conduct. conspiracy in the third degree is a class d felony.,California
Title 0 Article 1 Citation 4,a person is guilty of conspiracy in the second degree when with intent that conduct constituting a class a felony be performed he agrees with one or more persons to engage in or cause the performance of such conduct. conspiracy in the second degree is a class b felony.,California
Title 0 Article 1 Citation 5,a person is guilty of conspiracy in the first degree when with intent that conduct constituting a class a felony be performed he being over eighteen years of age agrees with one or more persons under sixteen years of age to engage in or cause the performance of such conduct. conspiracy in the first degree is a class a-i felony.,California
Title 0 Article 1 Citation 6,a person shall not be convicted of conspiracy unless an overt act is alleged and proved to have been committed by one of the conspirators in furtherance of the conspiracy.,California
